Id,Yard number,Yard name,Sale Date M/D/CY,Day of Week,Sale time (HHMM),Time Zone,Item#,Lot number,Vehicle Type,Year,Make,Model Group,Model Detail,Body Style,Color,Damage Description,Secondary Damage,Sale Title State,Sale Title Type,Has Keys-Yes or No,Lot Cond. Code,VIN,Odometer,Odometer Brand,Est. Retail Value,Repair cost,Engine,Drive,Transmission,Fuel Type,Cylinders,Runs/Drives,Sale Status,"High Bid =non-vix,Sealed=Vix",Special Note,Location city,Location state,Location ZIP,Location country,Currency Code,Image Thumbnail,Create Date/Time,Grid/Row,Make-an-Offer Eligible,Buy-It-Now Price,Image URL,Trim,Last Updated Time,Rentals,Copart Select
260,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,44262312,V,2011,TOYOTA,COROLLA,COROLLA,,GRAY,REAR END,,CA,SC,YES,D,2T1BU4EE8BC691361,93994,A,13012,0,1.8L  4,Front-wheel Drive,AUTOMATIC,GAS,4,Run & Drive Verified,Pure Sale,0,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP317/ff1e99e2e4324d4692acb3a8a6532659_thb.jpg,2022-06-02-07.40.18.000939,SH005,N,0,http://inventoryv2.copart.io/v1/lotImages/44262312?country=us&brand=cprt&yardNumber=1,BASE,2022-06-01T17:51:16Z,N,N
261,1,CA - VALLEJO,0,,,PDT,0,44306712,V,2016,VOLKSWAGEN,JETTA,JETTA SE,SEDAN 4D,WHITE,REAR END,,CA,SC,YES,D,3VWD67AJ3GM364207,58013,A,18130,18130,1.4L  4,Front-wheel Drive,AUTOMATIC,GAS,4,Run & Drive Verified,Pure Sale,0,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP316/d738880323d3458cb2e3b42b1f61f8b7_thb.jpg,2022-06-02-07.40.18.000939,SE006,N,0,http://inventoryv2.copart.io/v1/lotImages/44306712?country=us&brand=cprt&yardNumber=1,SE,2022-06-01T23:12:31Z,N,N
262,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,44355022,V,1998,HONDA,CIVIC,CIVIC EX,,GREEN,FRONT END,SIDE,CA,SC,NO,E,1HGEJ8249WL084863,198157,A,4924,0,1.6L  4,Front-wheel Drive,AUTOMATIC,GAS,4,DEFAULT,Pure Sale,0,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP315/556404c5218541c58b067690687b33a8_thb.jpg,2022-06-02-07.40.18.000939, E090,N,0,http://inventoryv2.copart.io/v1/lotImages/44355022?country=us&brand=cprt&yardNumber=1,EX,2022-06-01T17:43:18Z,N,N
263,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,44360742,V,2005,BMW,7 SERIES,745 I,,BLACK,FRONT END,,CA,SC,YES,D,WBAGL63505DP74391,147308,A,7119,5503.96,4.4L  8,Rear-wheel drive,AUTOMATIC,GAS,8,Run & Drive Verified,Pure Sale,0,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP317/8d80df2016cc42aeaf7e359f421bcaaa_thb.jpg,2022-06-02-07.40.18.000939, B080,N,0,http://inventoryv2.copart.io/v1/lotImages/44360742?country=us&brand=cprt&yardNumber=1,I,2022-05-31T16:52:43Z,N,N
264,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,44395682,V,2014,MERCEDES-BENZ,E-CLASS,E 550,CONVERTI,WHITE,FRONT END,,CA,CQ,YES,D,WDDKK7DF4EF233688,88484,X,0,0,4.6L  8,Rear-wheel drive,AUTOMATIC,GAS,8,Run & Drive Verified,On Minimum Bid,0,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP323/62cf88c3c1c34ae0b9873e247c1870e8_thb.jpg,2022-06-02-07.40.18.000939, C100,Y,10000,http://inventoryv2.copart.io/v1/lotImages/44395682?country=us&brand=cprt&yardNumber=1,550,2022-05-26T17:58:55Z,N,N
265,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,44411782,V,2007,HONDA,ACCORD,ACCORD SE,,WHITE,REAR END,,CA,SC,YES,D,1HGCM563X7A003493,152150,A,7898,8898.83,2.4L  4,Front-wheel Drive,AUTOMATIC,GAS,4,Run & Drive Verified,On Minimum Bid,0,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP319/63a7850facef4d11b7d2a5a230aa3255_thb.jpg,2022-06-02-07.40.18.000939,SG006,N,0,http://inventoryv2.copart.io/v1/lotImages/44411782?country=us&brand=cprt&yardNumber=1,SE,2022-05-26T15:31:17Z,N,N
266,1,CA - VALLEJO,0,,,PDT,0,44415852,V,2018,HONDA,ACCORD,ACCORD LX,,CHARCOAL,REAR END,,CA,SC,YES,D,1HGCV1F14JA184294,52279,A,2698.97,16502.91,1.5L  4,Front-wheel Drive,AUTOMATIC,GAS,4,Run & Drive Verified,Pure Sale,0,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP318/bc77a38c4eea423297141035777e9c1d_thb.jpg,2022-06-02-07.40.18.000940,SF004,N,0,http://inventoryv2.copart.io/v1/lotImages/44415852?country=us&brand=cprt&yardNumber=1,LX,2022-06-01T23:12:31Z,N,N
267,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,44429422,V,2004,MERCEDES-BENZ,E-CLASS,E 320,,BLACK,FRONT END,SIDE,CA,SC,YES,E,WDBUH65JX4A376170,223724,A,7010,5182.35,3.2L  6,Rear-wheel drive,AUTOMATIC,GAS,6,DEFAULT,On Minimum Bid,0,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP318/d7e665f599394d62950d501d2a155e7b_thb.jpg,2022-06-02-07.40.18.000952, A080,N,0,http://inventoryv2.copart.io/v1/lotImages/44429422?country=us&brand=cprt&yardNumber=1,320,2022-05-27T22:14:23Z,N,N
268,1,CA - VALLEJO,0,,,PDT,0,44430492,V,2014,FORD,F150 SVT,F150 SVT R,,BLACK,FRONT END,SIDE,CA,SC,YES,,1FTFW1R64EFA31052,147238,A,45058,36910.93,6.2L  8,4x4 w/Rear Wheel Drv,AUTOMATIC,GAS,8,,Pure Sale,0,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP321/eef7c1b6b7ca47189dbb2d67464e0e5a_thb.jpg,2022-06-02-07.40.18.000952,SH010,N,0,http://inventoryv2.copart.io/v1/lotImages/44430492?country=us&brand=cprt&yardNumber=1,SVT RAPTOR,2022-05-16T19:23:40Z,N,N
269,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,44433972,V,2000,TOYOTA,CAMRY,CAMRY CE,SEDAN 4D,GREEN,FRONT END,SIDE,CA,SC,YES,S,4T1BG22K2YU751535,191591,A,3617,0,2.2L  4,Front-wheel Drive,AUTOMATIC,GAS,4,Vehicle Starts,Pure Sale,0,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP317/4958d77e141147f9b0cef997be3edb17_thb.jpg,2022-06-02-07.40.18.000952, B060,N,0,http://inventoryv2.copart.io/v1/lotImages/44433972?country=us&brand=cprt&yardNumber=1,CE,2022-05-31T14:45:17Z,N,N
